bioguide_id,first_name,last_name,state_code,state_name,district_number,district_code,district_ordinal,party,chamber,title,title_short,website
C000266,Steve,Chabot,OH,Ohio,1,OH01,1st,REPUBLICAN,HOUSE,Representative,Rep.,http://chabot.house.gov
C000537,James,Clyburn,SC,South Carolina,6,SC06,6th,DEMOCRAT,HOUSE,Representative,Rep.,http://clyburn.house.gov
C000567,Thad,Cochran,MS,Mississippi,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.cochran.senate.gov
C000714,John,Conyers,MI,Michigan,13,MI13,13th,DEMOCRAT,HOUSE,Representative,Rep.,https://conyers.house.gov
C000754,Jim,Cooper,TN,Tennessee,5,TN05,5th,DEMOCRAT,HOUSE,Representative,Rep.,http://cooper.house.gov
C000880,Mike,Crapo,ID,Idaho,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.crapo.senate.gov
C000984,Elijah,Cummings,MD,Maryland,7,MD07,7th,DEMOCRAT,HOUSE,Representative,Rep.,https://cummings.house.gov
C001035,Susan M.,Collins,ME,Maine,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.collins.senate.gov
C001037,Michael,Capuano,MA,Massachusetts,7,MA07,7th,DEMOCRAT,HOUSE,Representative,Rep.,http://capuano.house.gov
C001038,Joseph,Crowley,NY,New York,14,NY14,14th,DEMOCRAT,HOUSE,Representative,Rep.,http://crowley.house.gov
C001047,Shelley Moore,Capito,WV,West Virginia,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.capito.senate.gov
C001048,John,Culberson,TX,Texas,7,TX07,7th,REPUBLICAN,HOUSE,Representative,Rep.,http://culberson.house.gov
C001049,Wm.,Clay,MO,Missouri,1,MO01,1st,DEMOCRAT,HOUSE,Representative,Rep.,https://lacyclay.house.gov
C001051,John,Carter,TX,Texas,31,TX31,31st,REPUBLICAN,HOUSE,Representative,Rep.,https://carter.house.gov
C001053,Tom,Cole,OK,Oklahoma,4,OK04,4th,REPUBLICAN,HOUSE,Representative,Rep.,https://cole.house.gov
C001056,John,Cornyn,TX,Texas,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.cornyn.senate.gov/
C001059,Jim,Costa,CA,California,16,CA16,16th,DEMOCRAT,HOUSE,Representative,Rep.,https://costa.house.gov
C001061,Emanuel,Cleaver,MO,Missouri,5,MO05,5th,DEMOCRAT,HOUSE,Representative,Rep.,http://cleaver.house.gov
C001062,K.,Conaway,TX,Texas,11,TX11,11th,REPUBLICAN,HOUSE,Representative,Rep.,http://conaway.house.gov
C001063,Henry,Cuellar,TX,Texas,28,TX28,28th,DEMOCRAT,HOUSE,Representative,Rep.,http://cuellar.house.gov
C001066,Kathy,Castor,FL,Florida,14,FL14,14th,DEMOCRAT,HOUSE,Representative,Rep.,http://castor.house.gov
C001067,Yvette,Clarke,NY,New York,9,NY09,9th,DEMOCRAT,HOUSE,Representative,Rep.,https://clarke.house.gov
C001068,Steve,Cohen,TN,Tennessee,9,TN09,9th,DEMOCRAT,HOUSE,Representative,Rep.,https://cohen.house.gov
C001069,Joe,Courtney,CT,Connecticut,2,CT02,2nd,DEMOCRAT,HOUSE,Representative,Rep.,https://courtney.house.gov
C001070,"Robert P., Jr.",Casey,PA,Pennsylvania,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.casey.senate.gov/
C001071,Bob,Corker,TN,Tennessee,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.corker.senate.gov/
C001072,André,Carson,IN,Indiana,7,IN07,7th,DEMOCRAT,HOUSE,Representative,Rep.,http://carson.house.gov
C001075,Bill,Cassidy,LA,Louisiana,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.cassidy.senate.gov
C001076,Jason,Chaffetz,UT,Utah,3,UT03,3rd,REPUBLICAN,HOUSE,Representative,Rep.,https://chaffetz.house.gov
C001077,Mike,Coffman,CO,Colorado,6,CO06,6th,REPUBLICAN,HOUSE,Representative,Rep.,http://coffman.house.gov
C001078,Gerald,Connolly,VA,Virginia,11,VA11,11th,DEMOCRAT,HOUSE,Representative,Rep.,https://connolly.house.gov
C001080,Judy,Chu,CA,California,27,CA27,27th,DEMOCRAT,HOUSE,Representative,Rep.,https://chu.house.gov
C001084,David,Cicilline,RI,Rhode Island,1,RI01,1st,DEMOCRAT,HOUSE,Representative,Rep.,http://cicilline.house.gov
C001087,Eric,Crawford,AR,Arkansas,1,AR01,1st,REPUBLICAN,HOUSE,Representative,Rep.,http://crawford.house.gov
C001088,Christopher A.,Coons,DE,Delaware,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.coons.senate.gov/
